unitid,al01c01,al01c02,al01c04,al02c02,al02c01,al02c04,al04c01,al04c03,al04c04,al05c01,al05c02,al05c03,al05c04,al07c02,al07c03,al07c04,al08c03,al08c04,al08c01,al04c02,al08c02,bl01,bl02,bl03,bl04,bl05,al01c03,al02c03,al07c01,al03c03,al03c04,al03c01,al03c02,al06c02,al06c03,al06c04,al06c01,genc01,genc02,genc03,genc04,varstrat,h_samp,smplwt,"xl01c01","xl01c02","xl01c03","xl01c04","xl02c01","xl02c02","xl02c03","xl02c04","xl03c01","xl03c02","xl03c03","xl03c04","xl04c01","xl04c02","xl04c03","xl04c04","xl05c01","xl05c02","xl05c03","xl05c04","xl06c01","xl06c02","xl06c03","xl06c04","xl07c01","xl07c02","xl07c03","xl07c04","xl08c01","xl08c02","xl08c03","xl08c04","xgenc01","xgenc02","xgenc03","xgenc04"
"100636","3","0","","1303","9557","","20","","","32","3","","","","","","","","","2","","","","","","1","","","","","","","","35","","","10","9622","1343","","","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"100654","26","12","0","50","137","21","52","6","14","21","26","3","6","1","0","0","6","5","47","65","29","","","","","","0","29","24","50","33","","","110","4","21","9","316","293","98","100","","","1",23,23,23,23,23,23,23,23,10,10,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
"100663","162","75","1","418","1013","26","626","25","257","470","1208","68","167","10","1","","156","391","367","1967","599","","","","","1","1","51","255","145","47","","","1552","43","338","118","3011","5829","490","1227","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
"100672","5","2","","1","23","2","2","12","0","","1","","1","0","","","1","","2","4","0","","","","1","","","2","3","","","","","12","","","1","36","20","15","3","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
"100681","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","0","0","0","0","1","1","0","0","","","1",23,23,23,23,23,23,23,23,10,10,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
"100690","4","1","","1","5","","","","2","1","","","","","","","1","1","","","","1","1","1","","","","8","","","","","","3","","","","10","5","9","3","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"100706","57","10","","56","173","9","110","51","16","27","48","30","19","1","","","2","1","42","109","19","","","1","","","1","11","30","83","39","","","193","2","23","13","452","436","180","107","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
"100724","23","6","","73","100","22","34","","","22","17","","","","","","","","45","34","40","","","","","1","","38","12","","","","","85","","","3","239","255","38","22","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
"100751","103","17","","204","630","79","316","12","30","136","118","17","16","2","","","7","12","115","274","171","1","1","1","1","","","56","136","560","366","","","668","35","89","35","1471","1454","687","592","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
"100760","6","3","","12","18","12","4","","","4","2","","","","","1","","","3","4","","","","","","1","","8","","","","","","8","","1","","35","29","8","14","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
"100779","5","","","","","2","1","","","","","","","","","","","","","","","1","","","","","","5","","","","","","2","","2","","6","2","5","4","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
