unitid,cnftmen,cnftwom,cnptmen,cnptwom,ftmen1,ftmen2,ftmen4,ftmen5,ftmen6,ftmen7,ftmen8,ftmen9,ftwom1,ftwom2,ftwom4,ftwom5,ftwom6,ftwom7,ftwom8,ftwom9,icnftmen,icnftwom,icnptmen,icnptwom,iftmen1,iftmen2,iftmen4,iftmen5,iftmen6,iftmen7,iftmen8,iftmen9,iftwom1,iftwom2,iftwom4,iftwom5,iftwom6,iftwom7,iftwom8,iftwom9,iptmen1,iptmen2,iptmen3,iptmen4,iptmen5,iptmen6,iptmen7,iptmen8,iptmen9,iptwom1,iptwom2,iptwom3,iptwom4,iptwom5,iptwom6,iptwom7,iptwom8,iptwom9,ptmen1,ptmen2,ptmen3,ptmen4,ptmen5,ptmen6,ptmen7,ptmen8,ptmen9,ptwom1,ptwom2,ptwom3,ptwom4,ptwom5,ptwom6,ptwom7,ptwom8,ptwom9
"100636","","","","","11","0","5","39","4","0","0","59","3","0","4","6","24","0","0","37","","","","","R","R","R","R","R","Z","Z","Z","R","R","R","R","R","Z","Z","Z","R","R","R","R","R","R","R","R","Z","R","R","R","R","R","R","R","R","Z","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100654","","","","","32","185","64","17","2","9","57","366","18","95","85","22","135","1","21","377","","","","","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","0","52","95","24","1","3","1","2","178","0","24","74","7","0","4","0","0","109"
"100663","","","","","158","1080","646","553","133","295","311","3176","88","415","1915","1563","1649","13","456","6099","","","","","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","1","94","650","120","98","86","15","168","1232","2","48","329","875","512","317","1","363","2447"
"100672","","","","","3","21","2","0","0","3","4","33","2","2","5","0","13","0","1","23","","","","","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","0","27","0","0","0","0","0","1","28","0","6","0","0","4","0","0","0","10"
"100681","","","","","","","","","","","","0","","","","","","","","0","N","N","N","N","N","N","N","N","","","","T","N","N","N","N","","","","R","N","N","","N","N","","","","T","N","N","","N","N","","","","T","","","","","","","","","0","","","","","","","","","0"
"100690","","","","","3","5","2","0","0","0","0","10","4","0","0","0","3","0","0","7","","","","","R","R","R","Z","Z","Z","Z","Z","R","Z","Z","Z","R","Z","Z","Z","Z","R","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","R","Z","R","Z","R","Z","0","2","0","0","0","0","0","0","2","0","0","0","1","0","3","0","1","5"
"100706","","","","","54","194","145","34","11","34","44","516","14","76","132","109","151","0","20","502","","","","","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","2","11","125","35","0","9","0","1","183","0","8","67","17","27","10","0","2","131"
"100724","","","","","22","104","39","36","4","12","78","295","5","91","49","19","96","1","65","326","","","","","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","0","43","1","0","0","1","0","0","45","0","29","0","0","0","0","0","0","29"
"100733","","","","","9","0","12","0","0","0","0","21","2","0","14","3","12","0","0","31","","","","","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","0","0","0","0","0","1","0","0","1","0","0","0","0","1","2","0","0","3"
"100751","","","","","98","663","348","144","45","178","162","1638","29","255","328","79","799","4","194","1688","","","","","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","0","62","702","13","30","19","0","36","862","0","75","456","47","89","25","0","59","751"
