UNITID,ARANK,XHRTOTLT,HRTOTLT,XHRTOTLM,HRTOTLM,XHRTOTLW,HRTOTLW,XHRAIANT,HRAIANT,XHRAIANM,HRAIANM,XHRAIANW,HRAIANW,XHRASIAT,HRASIAT,XHRASIAM,HRASIAM,XHRASIAW,HRASIAW,XHRBKAAT,HRBKAAT,XHRBKAAM,HRBKAAM,XHRBKAAW,HRBKAAW,XHRHISPT,HRHISPT,XHRHISPM,HRHISPM,XHRHISPW,HRHISPW,XHRNHPIT,HRNHPIT,XHRNHPIM,HRNHPIM,XHRNHPIW,HRNHPIW,XHRWHITT,HRWHITT,XHRWHITM,HRWHITM,XHRWHITW,HRWHITW,XHR2MORT,HR2MORT,XHR2MORM,HR2MORM,XHR2MORW,HR2MORW,XHRUNKNT,HRUNKNT,XHRUNKNM,HRUNKNM,XHRUNKNW,HRUNKNW,XHRNRALT,HRNRALT,XHRNRALM,HRNRALM,XHRNRALW,HRNRALW 
100663, 1,"R",521,"R",415,"R",106,"R",0,"Z",0,"Z",0,"R",45,"R",40,"R",5,"R",12,"R",8,"R",4,"R",15,"R",10,"R",5,"R",0,"Z",0,"Z",0,"R",449,"R",357,"R",92,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0
100663, 2,"R",277,"R",175,"R",102,"R",2,"R",1,"R",1,"R",40,"R",26,"R",14,"R",18,"R",8,"R",10,"R",9,"R",7,"R",2,"R",0,"Z",0,"Z",0,"R",208,"R",133,"R",75,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0
100663, 3,"R",5,"R",0,"R",5,"R",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",4,"Z",0,"R",4,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0
100663, 7,"R",803,"R",590,"R",213,"R",2,"R",1,"R",1,"R",86,"R",66,"R",20,"R",30,"R",16,"R",14,"R",24,"R",17,"R",7,"R",0,"R",0,"R",0,"R",661,"R",490,"R",171,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0
100663, 8,"R",14,"R",8,"R",6,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",13,"R",7,"R",6,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0
100663, 9,"R",92,"R",57,"R",35,"R",0,"Z",0,"Z",0,"R",24,"R",18,"R",6,"R",5,"R",3,"R",2,"R",2,"R",2,"Z",0,"R",0,"Z",0,"Z",0,"R",61,"R",34,"R",27,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0
100663,10,"R",328,"R",193,"R",135,"R",1,"Z",0,"R",1,"R",52,"R",41,"R",11,"R",23,"R",7,"R",16,"R",10,"R",6,"R",4,"R",0,"Z",0,"Z",0,"R",229,"R",130,"R",99,"R",1,"Z",0,"R",1,"R",0,"Z",0,"Z",0,"R",12,"R",9,"R",3
100663,14,"R",434,"R",258,"R",176,"R",1,"R",0,"R",1,"R",76,"R",59,"R",17,"R",29,"R",11,"R",18,"R",12,"R",8,"R",4,"R",0,"R",0,"R",0,"R",303,"R",171,"R",132,"R",1,"R",0,"R",1,"R",0,"R",0,"R",0,"R",12,"R",9,"R",3
100663,15,"R",77,"R",53,"R",24,"R",0,"Z",0,"Z",0,"R",7,"R",7,"Z",0,"R",1,"R",1,"Z",0,"R",3,"R",2,"R",1,"R",0,"Z",0,"Z",0,"R",66,"R",43,"R",23,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0
100663,16,"R",167,"R",91,"R",76,"R",0,"Z",0,"Z",0,"R",25,"R",12,"R",13,"R",6,"R",1,"R",5,"R",4,"R",2,"R",2,"R",0,"Z",0,"Z",0,"R",130,"R",74,"R",56,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",2,"R",2,"Z",0
