UNITID,FACSTAT,XSISTOTL,SISTOTL,XSISPROF,SISPROF,XSISASCP,SISASCP,XSISASTP,SISASTP,XSISINST,SISINST,XSISLECT,SISLECT,XSISNORK,SISNORK 
100654, 0,"R",244,"R",51,"R",61,"R",91,"R",38,"R",0,"R",3
100654,10,"R",244,"R",51,"R",61,"R",91,"R",38,"R",0,"R",3
100654,20,"R",91,"R",45,"R",34,"R",12,"R",0,"R",0,"R",0
100654,30,"R",49,"R",4,"R",14,"R",30,"R",1,"R",0,"R",0
100654,40,"R",104,"R",2,"R",13,"R",49,"R",37,"R",0,"R",3
100654,42,"R",104,"R",2,"R",13,"R",49,"R",37,"R",0,"R",3
100663, 0,"R",2268,"R",676,"R",592,"R",783,"R",217,"R",0,"R",0
100663,10,"R",2268,"R",676,"R",592,"R",783,"R",217,"R",0,"R",0
100663,20,"R",805,"R",543,"R",261,"R",1,"R",0,"R",0,"R",0
100663,30,"R",494,"R",19,"R",104,"R",371,"R",0,"R",0,"R",0
100663,40,"R",969,"R",114,"R",227,"R",411,"R",217,"R",0,"R",0
100663,42,"R",969,"R",114,"R",227,"R",411,"R",217,"R",0,"R",0
100690, 0,"R",36,"R",0,"R",0,"R",0,"R",36,"R",0,"R",0
100690,10,"R",36,"R",0,"R",0,"R",0,"R",36,"R",0,"R",0
100690,40,"R",36,"R",0,"R",0,"R",0,"R",36,"R",0,"R",0
100690,41,"R",15,"R",0,"R",0,"R",0,"R",15,"R",0,"R",0
100690,42,"R",21,"R",0,"R",0,"R",0,"R",21,"R",0,"R",0
100706, 0,"R",321,"R",69,"R",100,"R",91,"R",11,"R",50,"R",0
100706,10,"R",321,"R",69,"R",100,"R",91,"R",11,"R",50,"R",0
100706,20,"R",155,"R",69,"R",85,"R",1,"R",0,"R",0,"R",0
100706,30,"R",74,"R",0,"R",8,"R",66,"R",0,"R",0,"R",0
100706,40,"R",92,"R",0,"R",7,"R",24,"R",11,"R",50,"R",0
100706,41,"R",75,"R",0,"R",7,"R",22,"R",11,"R",35,"R",0
100706,42,"R",17,"R",0,"R",0,"R",2,"R",0,"R",15,"R",0
100724, 0,"R",254,"R",60,"R",73,"R",66,"R",46,"R",0,"R",9
100724,10,"R",245,"R",60,"R",73,"R",66,"R",46,"R",0,"R",0
