unitid,arank,"xstaff01",staff01,"xstaff02",staff02,"xstaff03",staff03,"xstaff04",staff04,"xstaff05",staff05,"xstaff06",staff06,"xstaff07",staff07,"xstaff08",staff08,"xstaff09",staff09,"xstaff10",staff10,"xstaff11",staff11,"xstaff12",staff12,"xstaff13",staff13,"xstaff14",staff14,"xstaff15",staff15,"xstaff16",staff16,stat_s
"100654","1",10,"5",10,"0",10,"7",10,"6",10,"0",10,"0",10,"7",10,"2",10,"0",10,"0",10,"6",10,"6",10,"0",10,"0",10,"25",10,"14","1"
"100654","2",10,"5",10,"0",10,"20",10,"3",10,"0",10,"0",10,"3",10,"1",10,"0",10,"0",10,"7",10,"3",10,"0",10,"0",10,"35",10,"7","1"
"100654","3",10,"4",10,"0",10,"13",10,"7",10,"0",10,"0",10,"2",10,"1",10,"0",10,"0",10,"8",10,"1",10,"0",10,"0",10,"27",10,"9","1"
"100654","4",10,"0",10,"0",10,"1",10,"1",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"1",10,"1","1"
"100654","7",10,"14",10,"0",10,"41",10,"17",10,"0",10,"0",10,"12",10,"4",10,"0",10,"0",10,"21",10,"10",10,"0",10,"0",10,"88",10,"31","1"
"100654","8",10,"0",10,"0",10,"1",10,"0",10,"0",10,"0",10,"1",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"2",10,"0","1"
"100654","9",10,"0",10,"0",10,"5",10,"2",10,"0",10,"0",10,"1",10,"1",10,"0",10,"0",10,"0",10,"2",10,"0",10,"0",10,"6",10,"5","1"
"100654","10",10,"1",10,"0",10,"1",10,"2",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"1",10,"2",10,"0",10,"0",10,"3",10,"4","1"
"100654","11",10,"0",10,"0",10,"1",10,"2",10,"0",10,"0",10,"1",10,"0",10,"0",10,"0",10,"2",10,"0",10,"0",10,"0",10,"4",10,"2","1"
"100654","14",10,"1",10,"0",10,"8",10,"6",10,"0",10,"0",10,"3",10,"1",10,"0",10,"0",10,"3",10,"4",10,"0",10,"0",10,"15",10,"11","1"
